,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
NGS247_0001R_RFS28,7.651010648721608,-2.662155089601158,-10.85730624622999,-1.3835516829273866,-3.773285287067797,-6.083166873890031,2.246192789017509,-1.0219655410967123,3.5611271129666657,-2.6165339817021267
NGS247_0002R_RFS29,-5.266302026786687,-9.719281877544432,-0.649207059260713,4.12729031081283,-2.2100097003024457,-0.9345344744827441,2.72008534025555,3.029248124783218,-3.4165060780455616,-1.6652276569393947
NGS247_0003R_RFS30,-16.64752670246803,-14.129535635859437,-3.5341657999374223,4.246360225381668,-4.757689687592063,-3.3268380083092643,-0.3275488032830653,0.898967745852883,-2.3669884132319448,-2.396742239195177
NGS247_0004R_RFS31,13.146739364246304,-1.7930877584617693,-9.833626276190477,-3.9181396806520494,-1.5334156821737686,3.5255947732023234,-1.2401569072161824,0.09742188878973958,5.823117093316027,-0.40538518542088964
NGS247_0005R_RFS32,-3.9553215425393815,-10.567883273381629,1.6915847650783349,0.5771878989213659,-0.44406823545160756,5.115019379145223,1.0435414780330166,3.613877079060806,0.6847051589764291,0.4500951789751704
NGS247_0006R_RFS33,-10.397719316913623,-13.812539907677237,-0.14926800520661748,0.6719498008441134,-4.991405638264412,0.7167852394753798,-0.22323807270848595,-0.3735312522715962,3.0605617676386365,-1.9433162495045764
NGS247_0007R_RFS34,15.348790450671519,-2.6252531804981896,-1.0117809929539625,-1.6450414793115795,2.3998413340603366,0.5331069363339067,9.521048360100195,-1.4948939328392474,-2.934090460276289,0.34349370815322683
NGS247_0008R_RFS35,-12.621124317460701,-12.858027293796662,11.62283660466024,0.8157917590653322,6.25024258662401,2.0292408434729805,0.9793071929215728,-0.8756306468979382,0.3982461513554928,-3.086879983922691
NGS247_0009R_RFS36,-15.237588455793867,-16.393206256431906,11.076821550172816,0.954801873264836,2.0748389939547907,-0.6635607019075889,-0.5125381326753014,-3.2853163080811187,2.704685689535845,0.1827009069984785
NGS247_0010R_RFS37,6.113845531385357,6.9329959932252905,0.3083117679720932,13.462392114148379,-0.5498874182407218,-2.0281262835904688,0.3789808027193651,4.755810856649859,2.0671921717866475,3.724423519020855
